smile,osmb,med1,med2,fexo,adip,siga,zale,pdop,rano
CCCCCCCC(=O)CC(=O)NC1CCOC1=O,0.2261083178945862,0.0837854821553652,0.0688930893363474,0.300314250551826,0.0063629292691955,0.0452974657841599,0.0078730477786366,0.0075475394605112,0.0165492512577382
CCCCCCCCCOCCCC12CC3CC(C1)CC(CCOP(=O)([O-1])OCC[N+1](C)(C)C)(C3)C2,0.0025745518981192,0.0780815910428002,0.0445536443316423,0.0586505327016624,0.1112574812104783,0.0,0.0,0.0062415503151914,0.4075938542007649
NCCC1=CC=C(O)C(O)=C1,0.1453688881615979,0.0172413793103448,0.0755808985858051,0.1758824990322392,0.0068112970636028,6.0711160900001575e-06,1.2007873615012417e-06,0.0643654941235896,0.0023415538936603
O=C(NCCN1CCCCC1)P(=O)(O)O,0.5614741927427361,0.0606060606060606,0.0532726693172177,0.4818250138989177,0.0042392466558414,3.0248501865898136e-06,0.0001484382810106,0.0074773282650791,0.0023389158285706
CC1=CCC(C[N+1](C)(C)C)C1,1.8818232139688509e-06,0.1358732440973515,0.0579377035582714,4.604224788334744e-07,0.0052330396824954,5.492798633333181e-15,0.0005056836768891,0.0050249253943186,0.0011506927122521
CC(C)=C1CCNC1CC(C)CC2CCC3C4=CCC5CC(N)CCC5(C)C4CCC32C,4.858484496207323e-05,0.1386750490563072,0.0550333003079034,0.0013745203619151,0.0050962044920421,0.0,0.0,0.0066996898867414,0.2147117909180832
CCCC1=NN=C(CC)N1NCCCC(=O)O,0.3751411823976886,0.0477818482567496,0.0564445008889735,0.3808917996627129,0.0059952001149358,0.013723475515367,0.0070120038132886,0.1403888237381262,0.0074880237395321
CC(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)NO,0.5710398051997363,0.0349215147884789,0.0271158325145315,0.2616283868616567,2.4486843442149493e-05,0.000247989781093,1.6031135963520826e-07,0.0056646032187133,1.938873816184326e-06
CC1(C(=O)NC2CCOC2=O)CCC3(C)CCC4(C)C(=CC(=O)C5C6(C)CCC(O)C(C)(C)C6CCC54C)C3C1,0.0321183881404899,0.1248999599679679,0.0689680800149162,0.3410319255752961,3.240900230907821e-05,0.0,0.0,0.0064755562299939,0.4977148558833286
CCCC(CCN=C(S)NC)C(N)C(=O)OC(C)(C)C,0.2823958385625121,0.0519480519480519,0.0281738413089703,0.3131375696252281,4.305908139592237e-05,0.0050516818451629,2.424536462422796e-05,0.0078285657457822,0.0202190960817223
